fighter,date_of_birth,tuf,r2ufc,dwcs,pride,sf,wec,bmf,hof,country,gender,weightclass,current_rank,current_p4p,peak_rank,peak_p4p,bouts,wins,win_types,losses,loss_types,streak,best_streak,bonus,slot,elo,peak_elo,opp_elo,debut,debut_result,prev_bout,prev_result,next_date,next_opp
Jafel Filho,1993-05-05,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,male,flyweight,16,16,16,16,5,3,0 KO 3 Sub 0 Dec,2,0 KO 1 Sub 1 Dec,1,2,1,9.2,2799,2799,2742,2023-03-18,L - Muhammad Mokaev,2025-10-11,W - Clayton Carpenter,2026-04-25,Lucas Rocha
Luis Gurule,1993-11-16,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,flyweight,16,16,16,16,3,0,0 KO 0 Sub 0 Dec,3,1 KO 0 Sub 2 Dec,-3,-1,0,8,2470,2594,2610,2025-04-05,L - Ode Osbourne,2026-02-21,L - Alden Coria,2026-05-16,Daniel Barez
Alibi Idiris,1994-10-22,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Kazakhstan,male,flyweight,16,16,16,16,2,0,0 KO 0 Sub 0 Dec,1,0 KO 1 Sub 0 Dec,0,0,0,10,2682,2682,2694,2025-08-16,L - Joseph Morales,2026-02-21,NC - Ode Osbourne,NA,NA
Terrance Saeteurn,1995-05-30,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,flyweight,16,16,16,16,1,0,0 KO 0 Sub 0 Dec,1,0 KO 1 Sub 0 Dec,-1,-1,0,14,2470,2470,2594,2025-08-23,L - Nyamjargal Tumendemberel,2025-08-23,L - Nyamjargal Tumendemberel,NA,NA
Charles Johnson,1991-01-10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,flyweight,13,16,12,16,14,8,3 KO 0 Sub 5 Dec,6,1 KO 0 Sub 5 Dec,1,4,3,8.4,2838,2955,2774,2022-07-23,L - Muhammad Mokaev,2026-03-14,W - Bruno Gustavo da Silva,2026-06-27,Asu Almabayev
Kai Kara-France,1993-03-26,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,New Zealand,male,flyweight,16,16,2,16,13,8,3 KO 0 Sub 5 Dec,5,1 KO 2 Sub 2 Dec,-1,3,6,5.3,3007,3089,2843,2018-12-01,W - Elias Garcia,2025-06-28,L - Alexandre Pantoja,NA,NA
Lone'er Kavanagh,1999-06-09,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,"China, United Kingdom, England",male,flyweight,6,16,6,16,4,3,0 KO 0 Sub 3 Dec,1,1 KO 0 Sub 0 Dec,1,2,1,6.8,2895,2895,2758,2024-11-23,W - Jose Ochoa,2026-02-28,W - Brandon Moreno,NA,NA
John Yannis,1994-07-07,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,"bantamweight, featherweight",16,16,16,16,1,0,0 KO 0 Sub 0 Dec,1,0 KO 1 Sub 0 Dec,-1,-1,0,10,2540,2540,2704,2025-08-02,L - Austin Bashi,2025-08-02,L - Austin Bashi,2026-04-18,Jamie Siraj
Andre Lima,1999-02-04,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,male,flyweight,16,16,16,16,4,4,0 KO 1 Sub 2 Dec,0,0 KO 0 Sub 0 Dec,4,4,2,10.8,2822,2822,2579,2024-03-23,W - Igor Severino,2025-03-15,W - Daniel Barez,2026-06-20,Kevin Borjas
Joseph Morales,1994-08-22,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,flyweight,16,16,14,16,5,3,0 KO 3 Sub 0 Dec,2,1 KO 0 Sub 1 Dec,2,2,1,9.4,2941,2941,2730,2017-08-05,W - Roberto Sanchez,2025-11-08,W - Matt Schnell,NA,NA
Brandon Moreno,1993-12-07,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Mexico,male,flyweight,9,16,-1,9,20,11,3 KO 3 Sub 5 Dec,7,1 KO 0 Sub 6 Dec,-2,3,7,3.5,2899,3340,2945,2016-10-01,W - Louis Smolka,2026-02-28,L - Lone'er Kavanagh,NA,NA
Allan Nascimento,1991-09-11,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,male,flyweight,16,16,16,16,5,4,0 KO 2 Sub 2 Dec,1,0 KO 0 Sub 1 Dec,4,4,2,8.2,2916,2916,2712,2021-10-30,L - Tagir Ulanbekov,2025-11-01,W - Cody Durden,2026-04-18,Mitch Raposo
Stewart Nicoll,1994-11-03,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Australia, Solomon Islands",male,flyweight,16,16,16,16,3,0,0 KO 0 Sub 0 Dec,3,1 KO 1 Sub 1 Dec,-3,-1,0,10,2403,2544,2632,2024-08-17,L - Jesus Aguilar,2026-04-04,L - Alessandro Costa,NA,NA
Jose Ochoa,2000-12-31,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Peru,male,flyweight,16,16,16,16,3,1,1 KO 0 Sub 0 Dec,2,0 KO 0 Sub 2 Dec,-1,1,1,8.3,2639,2678,2740,2024-11-23,L - Lone'er Kavanagh,2025-07-26,L - Asu Almabayev,2026-05-09,Clayton Carpenter
