fighter,date_of_birth,tuf,r2ufc,dwcs,pride,sf,wec,bmf,hof,country,gender,weightclass,current_rank,current_p4p,peak_rank,peak_p4p,bouts,wins,win_types,losses,loss_types,streak,best_streak,bonus,slot,elo,peak_elo,opp_elo,debut,debut_result,prev_bout,prev_result,next_date,next_opp
Jim Miller,1983-08-30,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,lightweight,16,16,4,16,46,27,6 KO 13 Sub 8 Dec,18,2 KO 3 Sub 13 Dec,-1,7,15,5.4,2796,3078,2774,2008-10-18,W - David Baron,2025-04-12,L - Chase Hooper,NA,NA
Thiago Moises,1995-03-23,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,male,lightweight,16,16,14,16,15,8,1 KO 3 Sub 4 Dec,7,3 KO 1 Sub 3 Dec,-1,3,2,6.2,2854,3048,2852,2018-11-10,L - Beneil Dariush,2025-05-17,L - Jared Gordon,2026-04-18,Gauge Young
Nikolas Motta,1993-02-08,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,male,lightweight,16,16,16,16,7,3,2 KO 0 Sub 1 Dec,3,3 KO 0 Sub 0 Dec,-1,2,2,9,2742,2808,2717,2022-02-19,L - Jim Miller,2025-06-21,L - Nazim Sadykhov,NA,NA
Jamie Mullarkey,1994-08-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Australia,male,lightweight,16,16,16,16,13,6,2 KO 0 Sub 4 Dec,7,4 KO 1 Sub 2 Dec,-1,2,3,7.4,2642,2772,2695,2019-10-05,L - Brad Riddell,2026-02-01,L - Quillan Salkilld,NA,NA
Tofiq Musayev,1989-12-15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Azerbaijan,male,lightweight,16,16,16,16,2,1,0 KO 0 Sub 1 Dec,1,0 KO 1 Sub 0 Dec,1,1,1,5.5,3005,3005,2950,2025-06-21,L - Myktybek Orolbai,2026-03-28,W - Ignacio Bahamondes,NA,NA
Tom Nolan,2000-03-08,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Australia,male,lightweight,16,16,16,16,5,4,1 KO 1 Sub 2 Dec,1,1 KO 0 Sub 0 Dec,4,4,1,7.6,2909,2909,2651,2024-01-13,L - Nikolas Motta,2025-09-28,W - Charlie Campbell,NA,NA
Trey Ogden,1989-11-14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,lightweight,16,16,16,16,7,3,0 KO 0 Sub 3 Dec,3,0 KO 0 Sub 3 Dec,-1,2,0,10,2856,3005,2805,2022-04-16,L - Jordan Leavitt,2025-01-11,L - Thiago Moises,2026-05-16,Thomas Gantt
Bolaji Oki,1995-11-15,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,"Belgium, Nigeria, Zimbabwe",male,lightweight,16,16,16,16,5,2,0 KO 0 Sub 2 Dec,3,2 KO 1 Sub 0 Dec,-2,1,0,8.8,2608,2691,2754,2024-02-10,W - Timmy Cuamba,2026-03-14,L - Manoel Sousa,NA,NA
Charles Oliveira,1989-10-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,Brazil,male,lightweight,3,11,-1,3,37,25,4 KO 17 Sub 4 Dec,11,5 KO 4 Sub 2 Dec,2,11,21,3.5,3582,3628,2998,2010-08-01,W - Darren Elkins,2026-03-07,W - Max Holloway,NA,NA
Myktybek Orolbai,1998-02-10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Kyrgyzstan,male,"welterweight, lightweight",16,16,16,16,6,5,1 KO 2 Sub 2 Dec,1,0 KO 0 Sub 1 Dec,3,3,1,6.2,3160,3160,2924,2023-11-18,W - Uros Medic,2026-03-14,W - Chris Curtis,NA,NA
Chris Padilla,1995-09-14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,lightweight,16,16,16,16,4,4,2 KO 1 Sub 1 Dec,0,0 KO 0 Sub 0 Dec,4,4,0,7,2955,2955,2812,2024-04-27,W - James Llontop,2025-11-08,W - Ismael Bonfim,2026-04-11,MarQuel Mederos
Sam Patterson,1996-04-30,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,"United Kingdom, England",male,welterweight,16,16,16,16,6,4,2 KO 2 Sub 0 Dec,2,1 KO 0 Sub 1 Dec,-1,4,0,8,2924,2948,2748,2023-03-18,L - Yanal Ashmouz,2026-03-21,L - Michael Page,NA,NA
Francisco Prado,2002-06-16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Argentina,male,welterweight,16,16,16,16,5,1,1 KO 0 Sub 0 Dec,4,0 KO 0 Sub 4 Dec,-3,1,2,5.6,2582,2686,2789,2023-02-11,L - Jamie Mullarkey,2025-07-19,L - Nikolay Veretennikov,2026-04-11,Charles Radtke
Kyle Prepolec,1989-08-30,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Canada,male,lightweight,16,16,16,16,4,0,0 KO 0 Sub 0 Dec,4,1 KO 1 Sub 2 Dec,-4,-1,1,8.2,2556,2647,2756,2019-05-04,L - Nordine Taleb,2025-10-18,L - Drew Dober,NA,NA
Claudio Puelles,1996-04-21,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Peru,male,lightweight,16,16,16,16,9,5,0 KO 3 Sub 2 Dec,4,2 KO 0 Sub 2 Dec,-3,5,2,8.7,2791,3013,2733,2016-11-05,L - Martin Bravo,2025-09-13,L - Joaquim Silva,NA,NA
Mitch Ramirez,1992-11-03,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,lightweight,16,16,16,16,2,0,0 KO 0 Sub 0 Dec,2,2 KO 0 Sub 0 Dec,-2,-1,0,11.5,2513,2545,2852,2024-03-16,L - Thiago Moises,2025-07-12,L - Mike Davis,NA,NA
Mateusz Rebecki,1992-10-03,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Poland,male,lightweight,16,16,16,16,7,4,1 KO 1 Sub 2 Dec,3,1 KO 0 Sub 2 Dec,-2,3,3,6.6,2843,3136,2896,2023-01-14,W - Nick Fiore,2025-10-25,L - Ludovit Klein,2026-05-09,Grant Dawson
Alex Reyes,1986-10-02,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,"lightweight, welterweight",16,16,16,16,3,0,0 KO 0 Sub 0 Dec,3,2 KO 0 Sub 1 Dec,-3,-1,0,7.3,2480,2663,2727,2017-09-16,L - Mike Perry,2024-08-17,L - Tom Nolan,NA,NA
Esteban Ribovics,1996-04-27,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Argentina,male,lightweight,16,16,16,16,6,4,1 KO 0 Sub 3 Dec,2,0 KO 0 Sub 2 Dec,1,3,3,7.5,2949,2949,2885,2023-03-04,L - Loik Radzhabov,2025-08-02,W - Elves Brener,2026-04-11,Mateusz Gamrot
Rongzhu,2000-03-07,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,China,male,lightweight,16,16,16,16,6,3,1 KO 0 Sub 2 Dec,3,1 KO 1 Sub 1 Dec,2,2,1,8.3,2894,2894,2670,2021-04-24,L - Rodrigo Vargas,2025-08-23,W - Austin Hubbard,NA,NA
Mauricio Ruffy,1996-06-17,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,male,lightweight,10,16,9,16,5,4,3 KO 0 Sub 1 Dec,1,0 KO 1 Sub 0 Dec,1,3,3,5,3080,3080,2912,2024-05-04,W - Jamie Mullarkey,2026-02-01,W - Rafael Fiziev,2026-06-14,Michael Chandler
Nazim Sadykhov,1994-05-16,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,"Azerbaijan, United States",male,lightweight,16,16,16,16,6,4,3 KO 1 Sub 0 Dec,1,1 KO 0 Sub 0 Dec,-1,2,4,6.5,2922,2996,2792,2023-02-18,W - Evan Elder,2025-12-06,L - Fares Ziam,NA,NA
Benoit Saint Denis,1995-12-18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,France,male,lightweight,5,16,5,16,12,9,5 KO 4 Sub 0 Dec,3,2 KO 0 Sub 1 Dec,4,5,6,4.9,3344,3344,2972,2021-10-30,L - Elizeu Zaleski dos Santos,2026-02-01,W - Dan Hooker,NA,NA
Quillan Salkilld,1999-12-28,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Australia,male,lightweight,16,16,16,16,4,4,2 KO 1 Sub 1 Dec,0,0 KO 0 Sub 0 Dec,4,4,3,8.8,3030,3030,2818,2025-02-08,W - Anshul Jubli,2026-02-01,W - Jamie Mullarkey,2026-05-02,Beneil Dariush
Joaquim Silva,1989-02-05,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,male,lightweight,16,16,16,16,12,7,3 KO 0 Sub 4 Dec,5,3 KO 0 Sub 2 Dec,1,3,2,7.4,2805,2805,2771,2015-09-05,W - Nazareno Malegarie,2025-09-13,W - Claudio Puelles,NA,NA
Kody Steele,1995-04-21,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,lightweight,16,16,16,16,1,0,0 KO 0 Sub 0 Dec,1,0 KO 0 Sub 1 Dec,-1,-1,1,10,2619,2619,2713,2025-02-08,L - Rongzhu,2025-02-08,L - Rongzhu,NA,NA
Manuel Torres,1995-03-25,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Mexico,male,lightweight,14,16,13,16,6,5,4 KO 1 Sub 0 Dec,1,1 KO 0 Sub 0 Dec,2,3,5,5,3076,3076,2822,2022-05-14,W - Frank Camacho,2025-12-06,W - Grant Dawson,NA,NA
Arman Tsarukyan,1996-10-11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Armenia, Russia",male,lightweight,2,15,1,13,12,10,4 KO 1 Sub 5 Dec,2,0 KO 0 Sub 2 Dec,5,5,6,3.5,3456,3456,3023,2019-04-20,L - Islam Makhachev,2025-11-22,W - Dan Hooker,NA,NA
Gauge Young,2000-07-14,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,lightweight,16,16,16,16,2,1,0 KO 0 Sub 1 Dec,1,0 KO 0 Sub 1 Dec,1,1,0,7,2614,2614,2674,2025-04-26,L - Evan Elder,2025-08-23,W - Maheshate,2026-04-18,Thiago Moises
Daniel Zellhuber,1999-07-07,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Mexico,male,lightweight,16,16,16,16,7,3,0 KO 1 Sub 2 Dec,4,1 KO 0 Sub 3 Dec,-3,3,3,5.7,2690,2952,2765,2022-09-17,L - Trey Ogden,2026-02-28,L - King Green,NA,NA
Fares Ziam,1997-03-21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Algeria, France",male,lightweight,15,16,15,16,10,8,2 KO 0 Sub 6 Dec,2,0 KO 1 Sub 1 Dec,6,6,1,8.6,3163,3163,2785,2019-09-07,L - Don Madge,2025-12-06,W - Nazim Sadykhov,NA,NA
Gabriel Bonfim,1997-08-20,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,male,welterweight,10,16,10,16,7,6,1 KO 3 Sub 2 Dec,1,1 KO 0 Sub 0 Dec,4,4,3,4.7,3215,3215,2991,2023-01-21,W - Mounir Lazzez,2025-11-08,W - Randy Brown,2026-06-06,Belal Muhammad
Sean Brady,1992-11-23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,welterweight,6,16,1,16,10,8,0 KO 4 Sub 4 Dec,2,2 KO 0 Sub 0 Dec,-1,5,3,6,3327,3484,3111,2019-10-18,W - Court McGee,2025-11-15,L - Michael Morales,2026-05-09,Joaquin Buckley
Ramiz Brahimaj,1992-11-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Albania, United States, Kosovo",male,welterweight,16,16,16,16,9,5,1 KO 4 Sub 0 Dec,4,1 KO 0 Sub 3 Dec,-1,3,2,8.7,2755,2845,2634,2020-11-07,L - Max Griffin,2026-02-21,L - Punahele Soriano,NA,NA
Randy Brown,1990-07-08,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Jamaica, United States",male,welterweight,16,16,16,16,21,14,4 KO 3 Sub 7 Dec,7,3 KO 2 Sub 2 Dec,-1,4,3,5.6,3040,3156,2816,2016-01-30,W - Matt Dwyer,2025-11-08,L - Gabriel Bonfim,2026-04-11,Kevin Holland
Joaquin Buckley,1994-04-27,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,welterweight,9,16,6,16,16,11,8 KO 0 Sub 3 Dec,5,3 KO 0 Sub 2 Dec,-1,6,6,4.5,3292,3402,2948,2020-08-08,L - Kevin Holland,2025-06-14,L - Kamaru Usman,2026-05-09,Sean Brady
Gilbert Burns,1986-07-20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,male,welterweight,11,16,1,16,24,15,3 KO 5 Sub 7 Dec,9,4 KO 0 Sub 5 Dec,-4,6,5,5.2,3020,3433,3001,2014-07-26,W - Andreas Stahl,2025-05-17,L - Michael Morales,2026-04-18,Mike Malott
Michael Chiesa,1987-12-07,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,welterweight,16,16,5,16,22,15,0 KO 9 Sub 6 Dec,7,1 KO 5 Sub 1 Dec,4,4,5,4.2,3113,3294,2876,2012-06-01,W - Al Iaquinta,2026-03-28,W - Niko Price,NA,NA
Khamzat Chimaev,1994-05-01,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"United Arab Emirates, Russia, Sweden",male,middleweight,-1,3,-1,3,9,9,2 KO 4 Sub 3 Dec,0,0 KO 0 Sub 0 Dec,9,9,7,3.4,3618,3618,3147,2020-07-15,W - John Phillips,2025-08-16,W - Dricus Du Plessis,2026-05-09,Sean Strickland
Colby Covington,1988-02-22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,welterweight,15,16,0,16,17,12,2 KO 3 Sub 7 Dec,5,2 KO 1 Sub 2 Dec,-2,7,2,4.6,3258,3451,3054,2014-08-22,W - Anying Wang,2024-12-14,L - Joaquin Buckley,NA,NA
Chris Curtis,1987-07-15,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,"welterweight, middleweight",16,16,13,16,12,6,3 KO 0 Sub 3 Dec,5,1 KO 0 Sub 4 Dec,-1,3,4,5.4,2846,3123,2962,2021-11-06,W - Phil Hawes,2026-03-14,L - Myktybek Orolbai,NA,NA
Nicolas Dalby,1984-11-16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Denmark,male,welterweight,16,16,16,16,15,8,1 KO 0 Sub 7 Dec,5,1 KO 0 Sub 4 Dec,1,4,3,7.3,3002,3116,2826,2015-05-30,W - Elizeu Zaleski dos Santos,2025-11-22,W - Saygid Izagakhmaev,2026-05-16,Jeremiah Wells
Jack Della Maddalena,1996-09-10,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Australia,male,welterweight,1,13,-1,7,9,8,4 KO 1 Sub 3 Dec,1,0 KO 0 Sub 1 Dec,-1,8,6,3.2,3419,3450,3098,2022-01-22,W - Pete Rodriguez,2025-11-15,L - Islam Makhachev,2026-05-02,Carlos Prates
Islam Dulatov,1998-08-02,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,"Germany, Russia",male,welterweight,16,16,16,16,1,1,1 KO 0 Sub 0 Dec,0,0 KO 0 Sub 0 Dec,1,1,1,10,2800,2800,2589,2025-07-19,W - Adam Fugitt,2025-07-19,W - Adam Fugitt,NA,NA
Leon Edwards,1991-08-25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"United Kingdom, England, Jamaica",male,welterweight,8,16,-1,3,20,14,3 KO 1 Sub 10 Dec,5,1 KO 1 Sub 3 Dec,-3,8,2,3.9,3228,3661,3029,2014-11-08,L - Claudio Silva,2025-11-15,L - Carlos Prates,NA,NA
Oban Elliott,1997-12-19,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,"United Kingdom, Wales",male,welterweight,16,16,16,16,5,3,1 KO 0 Sub 2 Dec,2,0 KO 1 Sub 1 Dec,-2,3,1,9.6,2662,2951,2660,2024-02-17,W - Val Woodburn,2026-02-01,L - Jonathan Micallef,NA,NA
Daniel Frunza,1994-04-13,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Romania,male,welterweight,16,16,16,16,2,0,0 KO 0 Sub 0 Dec,2,1 KO 1 Sub 0 Dec,-2,-1,0,6.5,2544,2631,2686,2025-04-05,L - Rhys McKee,2025-11-01,L - Charles Radtke,NA,NA
Mickey Gall,1992-01-22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,welterweight,16,16,16,16,13,6,0 KO 5 Sub 1 Dec,7,3 KO 0 Sub 4 Dec,-4,3,0,7.4,2392,2714,2594,2016-02-06,W - Mike Jackson,2024-11-16,L - Ramiz Brahimaj,NA,NA
Kelvin Gastelum,1991-10-24,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Mexico, United States",male,middleweight,16,16,3,16,25,14,3 KO 2 Sub 9 Dec,10,0 KO 3 Sub 7 Dec,1,5,7,2.7,2992,3268,3004,2013-04-13,W - Uriah Hall,2025-09-13,W - Dustin Stoltzfus,2026-04-11,Vicente Luque
Billy Ray Goff,1998-06-18,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,welterweight,16,16,16,16,3,1,1 KO 0 Sub 0 Dec,2,0 KO 1 Sub 1 Dec,-2,1,1,7.7,2520,2727,2558,2023-08-26,W - Yusaku Kinoshita,2025-05-31,L - Ramiz Brahimaj,NA,NA
Themba Gorimbo,1991-01-23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"South Africa, Zimbabwe",male,welterweight,16,16,16,16,7,4,1 KO 0 Sub 3 Dec,3,0 KO 2 Sub 1 Dec,-2,4,0,7.4,2692,2824,2695,2023-02-18,L - AJ Fletcher,2025-11-01,L - Jeremiah Wells,2026-05-02,Jonathan Micallef
Max Griffin,1985-11-29,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,welterweight,16,16,16,16,18,8,3 KO 0 Sub 5 Dec,10,1 KO 1 Sub 8 Dec,-2,3,2,7.3,2809,2998,2823,2016-08-20,L - Colby Covington,2025-07-12,L - Chris Curtis,NA,NA
Andreas Gustafsson,1991-02-20,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Sweden,male,welterweight,16,16,16,16,2,1,0 KO 0 Sub 1 Dec,1,1 KO 0 Sub 0 Dec,-1,1,0,10.5,2847,2877,3042,2025-06-07,W - Khaos Williams,2025-09-06,L - Rinat Fakhretdinov,NA,NA
Bassil Hafez,1992-01-31,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Egypt, Syria, United States",male,welterweight,16,16,16,16,3,1,0 KO 0 Sub 1 Dec,2,1 KO 0 Sub 1 Dec,-1,1,1,7.7,2685,2745,2850,2023-07-15,L - Jack Della Maddalena,2024-11-16,L - Oban Elliott,NA,NA
Carlston Harris,1987-07-09,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Brazil, Guyana",male,welterweight,16,16,16,16,7,4,1 KO 2 Sub 1 Dec,3,3 KO 0 Sub 0 Dec,-2,2,2,7,2803,3053,2849,2021-05-08,W - Christian Aguilera,2025-01-11,L - Santiago Ponzinibbio,NA,NA
Kevin Holland,1992-11-05,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,welterweight,16,16,10,16,28,15,6 KO 5 Sub 4 Dec,12,2 KO 3 Sub 7 Dec,-2,5,10,4.4,2885,3181,2934,2018-08-04,L - Thiago Santos,2025-10-18,L - Mike Malott,2026-04-11,Randy Brown
Seokhyeon Ko,1993-09-24,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,South Korea,male,welterweight,16,16,16,16,2,2,0 KO 0 Sub 2 Dec,0,0 KO 0 Sub 0 Dec,2,2,0,9.5,2843,2843,2904,2025-06-21,W - Oban Elliott,2025-11-01,W - Phil Rowe,NA,NA
Carlos Leal,1994-05-04,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,male,welterweight,16,16,16,16,4,2,1 KO 0 Sub 1 Dec,2,1 KO 0 Sub 1 Dec,1,1,0,8.8,2988,3007,2912,2024-10-26,L - Rinat Fakhretdinov,2026-02-21,W - Chidi Njokuani,NA,NA
Li Jingliang,1988-03-20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,China,male,welterweight,16,16,11,16,18,11,8 KO 0 Sub 3 Dec,7,1 KO 2 Sub 4 Dec,-2,4,7,5.6,2925,3095,2763,2014-05-24,W - David Michaud,2024-08-17,L - Carlos Prates,NA,NA
Vicente Luque,1991-11-27,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Brazil, United States",male,"middleweight, welterweight",16,16,4,16,24,16,8 KO 6 Sub 2 Dec,8,2 KO 1 Sub 5 Dec,-2,6,9,5.3,2909,3339,2869,2015-07-12,L - Mike Graves,2025-10-11,L - Joel Alvarez,2026-04-11,Kelvin Gastelum
Ian Machado Garry,1997-11-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Brazil, Ireland",male,welterweight,2,16,2,16,11,10,3 KO 0 Sub 7 Dec,1,0 KO 0 Sub 1 Dec,2,8,1,4.8,3452,3452,2995,2021-11-06,W - Jordan Williams,2025-11-22,W - Belal Muhammad,NA,NA
Neil Magny,1987-08-03,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,welterweight,16,16,5,16,37,24,7 KO 3 Sub 14 Dec,13,4 KO 6 Sub 3 Dec,-1,7,5,4.7,2994,3290,2920,2013-02-23,W - Jon Manley,2025-12-13,L - Yaroslav Amosov,NA,NA
Mike Malott,1991-11-07,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Canada,male,welterweight,16,16,15,16,7,6,2 KO 2 Sub 2 Dec,1,1 KO 0 Sub 0 Dec,3,3,2,4.7,3048,3048,2796,2022-04-09,W - Mickey Gall,2025-10-18,W - Kevin Holland,2026-04-18,Gilbert Burns
Jake Matthews,1994-08-19,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Australia,male,welterweight,16,16,16,16,23,15,2 KO 6 Sub 7 Dec,8,1 KO 4 Sub 3 Dec,-1,3,3,6,2949,3077,2764,2014-06-27,W - Dashon Johnson,2025-09-28,L - Neil Magny,2026-05-30,Muslim Salikhov
Court McGee,1984-12-12,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,welterweight,16,16,16,16,24,11,0 KO 3 Sub 8 Dec,13,3 KO 0 Sub 10 Dec,-1,3,1,6.8,2698,2788,2710,2010-06-19,W - Kris McCray,2025-06-14,L - Michael Chiesa,NA,NA
Tim Means,1984-02-20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,welterweight,16,16,16,16,30,15,6 KO 2 Sub 7 Dec,14,2 KO 6 Sub 6 Dec,-2,4,3,6.5,2586,3040,2766,2012-02-15,W - Bernardo Magalhaes,2024-10-05,L - Court McGee,NA,NA
Jonathan Micallef,1999-03-05,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Australia,male,welterweight,16,16,16,16,2,2,0 KO 1 Sub 1 Dec,0,0 KO 0 Sub 0 Dec,2,2,0,10,2856,2856,2726,2025-02-08,W - Kevin Jousset,2026-02-01,W - Oban Elliott,2026-05-02,Themba Gorimbo
Michael Morales,1999-06-24,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,"Ecuador, Mexico",male,welterweight,3,16,3,16,7,7,5 KO 0 Sub 2 Dec,0,0 KO 0 Sub 0 Dec,7,7,3,4.1,3416,3416,2988,2022-01-22,W - Trevin Giles,2025-11-15,W - Sean Brady,NA,NA
Belal Muhammad,1988-07-09,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Palestine, United States",male,welterweight,4,16,-1,5,21,15,2 KO 1 Sub 12 Dec,5,1 KO 0 Sub 4 Dec,-2,6,4,5.2,3344,3677,3006,2016-07-07,L - Alan Jouban,2025-11-22,L - Ian Machado Garry,2026-06-06,Gabriel Bonfim
Ismail Naurdiev,1996-08-18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Austria, Morocco, Russia",male,middleweight,16,16,16,16,7,4,1 KO 0 Sub 3 Dec,3,0 KO 0 Sub 3 Dec,1,1,0,10.7,2820,2894,2858,2019-02-23,W - Michel Prazeres,2025-11-22,W - Ryan Loder,NA,NA
Geoff Neal,1990-08-28,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,welterweight,16,16,6,16,14,8,5 KO 1 Sub 2 Dec,6,2 KO 1 Sub 3 Dec,-2,5,3,4.6,2898,3178,2985,2018-02-18,W - Brian Camozzi,2026-02-21,L - Uros Medic,NA,NA
Gunnar Nelson,1988-07-28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Iceland,male,welterweight,16,16,8,16,16,10,0 KO 8 Sub 2 Dec,6,1 KO 0 Sub 5 Dec,-1,4,5,3.3,2934,3117,2889,2012-09-29,W - DaMarques Johnson,2025-03-22,L - Kevin Holland,NA,NA
Chidi Njokuani,1988-12-31,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,"Nigeria, United States",male,welterweight,16,16,16,16,10,5,3 KO 0 Sub 2 Dec,5,2 KO 1 Sub 2 Dec,-2,3,3,5.4,2785,2986,2841,2022-02-05,W - Marc-Andre Barriault,2026-02-21,L - Carlos Leal,NA,NA
Michael Page,1987-04-07,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"United Kingdom, England",male,"welterweight, middleweight",12,16,9,16,5,4,0 KO 0 Sub 4 Dec,1,0 KO 0 Sub 1 Dec,3,3,0,3.4,3316,3316,3097,2024-03-09,W - Kevin Holland,2026-03-21,W - Sam Patterson,NA,NA
Santiago Ponzinibbio,1986-09-26,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Argentina,male,welterweight,16,16,7,16,20,12,7 KO 0 Sub 5 Dec,8,4 KO 0 Sub 4 Dec,-1,7,6,3.8,2854,3261,2851,2013-11-09,L - Ryan LaFlare,2025-05-03,L - Daniel Rodriguez,NA,NA
Carlos Prates,1993-08-17,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,male,welterweight,5,16,5,16,7,6,6 KO 0 Sub 0 Dec,1,0 KO 0 Sub 1 Dec,2,4,6,4.1,3338,3338,3075,2024-02-10,W - Trevin Giles,2025-11-15,W - Leon Edwards,2026-05-02,Jack Della Maddalena
