fighter_name,country,date_of_birth,gender,weightclass,peak,peak p4p,bouts,wins,win_type,losses,loss_type,win_pct,best streak,last streak,bonus,peak elo,debut,debut_result,prev_bout,prev_result
Sione Latu,🇺🇸,NA,NA,NA,16,16,1,1,1 KO 0 Sub 0 Dec,0,0 KO 0 Sub 0 Dec,1,1,1,0,2300,1999-03-05,W - Joey Roberts,1999-03-05,W - Joey Roberts
Paulo Santos,🇧🇷,NA,NA,NA,16,16,1,0,0 KO 0 Sub 0 Dec,1,1 KO 0 Sub 0 Dec,0,-1,-1,0,2100,1998-10-16,L - Cesar Marscucci,1998-10-16,L - Cesar Marscucci
Cesar Marscucci,🇧🇷,NA,NA,NA,16,16,1,1,1 KO 0 Sub 0 Dec,0,0 KO 0 Sub 0 Dec,1,1,1,0,2300,1998-10-16,W - Paulo Santos,1998-10-16,W - Paulo Santos
Justin Martin,🇺🇸,NA,NA,NA,16,16,1,1,0 KO 1 Sub 0 Dec,0,0 KO 0 Sub 0 Dec,1,1,1,0,2300,1997-02-07,W - Eric Martin,1997-02-07,W - Eric Martin
Eric Martin,🇺🇸,NA,NA,NA,16,16,1,0,0 KO 0 Sub 0 Dec,1,0 KO 1 Sub 0 Dec,0,-1,-1,0,2100,1997-02-07,L - Justin Martin,1997-02-07,L - Justin Martin
Francesco Maturi,🇺🇸,NA,NA,NA,16,16,1,0,0 KO 0 Sub 0 Dec,1,0 KO 1 Sub 0 Dec,0,-1,-1,0,2100,1995-09-08,L - Onassis Parungao,1995-09-08,L - Onassis Parungao
Orlando Wiet,🇳🇱 🇸🇷,1965-10-24,male,NA,16,16,2,1,1 KO 0 Sub 0 Dec,1,1 KO 0 Sub 0 Dec,0.5,1,-1,0,2200,1994-03-11,W - Robert Lucarelli,1994-03-11,L - Remco Pardoel
Robelis Despaigne,🇨🇺,1988-09-09,male,heavyweight,16,16,3,1,1 KO 0 Sub 0 Dec,2,0 KO 0 Sub 2 Dec,0.3333333333333333,1,-2,1,2599,2024-03-09,W - Josh Parisian,2024-10-19,L - Austen Lane
Dylan Budka,🇺🇸,2000-01-14,male,middleweight,16,16,3,0,0 KO 0 Sub 0 Dec,3,2 KO 0 Sub 1 Dec,0,-1,-3,0,2530,2024-04-06,L - Cesar Almeida,2025-02-15,L - Edmen Shahbazyan
Felipe dos Santos,🇧🇷,2000-09-11,male,flyweight,16,16,4,1,0 KO 0 Sub 1 Dec,3,0 KO 0 Sub 3 Dec,0.25,1,-2,1,2602,2023-09-09,L - Manel Kape,2025-03-22,L - Lone'er Kavanagh
Isaac Dulgarian,🇦🇲 🇺🇸,1996-07-04,male,"featherweight, eatherweight",16,16,4,2,1 KO 1 Sub 0 Dec,2,0 KO 1 Sub 1 Dec,0.5,1,-1,0,2705,2023-08-12,W - Francis Marshall,2025-11-01,L - Yadier del Valle
Rafael Cerqueira,🇧🇷,1990-03-15,male,light heavyweight,16,16,4,0,0 KO 0 Sub 0 Dec,4,2 KO 1 Sub 1 Dec,0,-1,-4,0,2572,2024-10-26,L - Ibo Aslan,2025-11-22,L - Abdul Rakhman Yakhyaev
Maheshate,🇨🇳,1999-12-01,male,lightweight,16,16,6,2,1 KO 0 Sub 1 Dec,4,1 KO 0 Sub 3 Dec,0.3333333333333333,1,-2,1,2764,2022-06-11,W - Steve Garcia,2025-08-23,L - Gauge Young
Igor Severino,🇧🇷,2003-04-21,male,flyweight,16,16,1,0,0 KO 0 Sub 0 Dec,1,0 KO 0 Sub 0 Dec,0,-1,-1,0,2520,2024-03-23,L - Andre Lima,2024-03-23,L - Andre Lima
Viktoriia Dudakova,🇷🇺,1999-01-26,female,women's strawweight,16,16,4,2,1 KO 0 Sub 1 Dec,2,1 KO 0 Sub 1 Dec,0.5,2,-2,0,2739,2023-07-15,W - Istela Nunes,2025-01-11,L - Fatima Kline
Hamdy Abdelwahab,🇪🇬,1993-01-22,male,heavyweight,16,16,4,2,0 KO 0 Sub 2 Dec,1,0 KO 0 Sub 1 Dec,0.5,1,1,0,2559,2022-07-30,NC - Don'Tale Mayes,2025-10-25,W - Chris Barnett
Danny Barlow,🇺🇸,1995-08-02,male,"middleweight, welterweight",16,16,4,2,1 KO 0 Sub 1 Dec,2,1 KO 0 Sub 1 Dec,0.5,2,-2,0,2729,2024-02-17,W - Josh Quinlan,2025-10-18,L - Djorden Santos
Mateus Mendonca,🇧🇷,1999-01-17,male,"bantamweight, flyweight",16,16,3,0,0 KO 0 Sub 0 Dec,3,1 KO 0 Sub 2 Dec,0,-1,-3,0,2685,2023-01-14,L - Javid Basharat,2024-02-24,L - Jesus Aguilar
Karl Williams,🇺🇸 🇻🇮,1990-01-06,male,heavyweight,16,16,4,3,0 KO 0 Sub 3 Dec,1,0 KO 0 Sub 1 Dec,0.75,3,-1,0,2856,2023-03-11,W - Lukasz Brzeski,2024-08-10,L - Jhonata Diniz
Genaro Valdez,🇲🇽,1992-01-16,male,lightweight,16,16,3,0,0 KO 0 Sub 0 Dec,3,1 KO 0 Sub 2 Dec,0,-1,-3,0,2549,2022-01-22,L - Matt Frevola,2023-07-15,L - Evan Elder
Irina Alekseeva,🇷🇺,1990-06-27,female,women's bantamweight,16,16,4,1,0 KO 1 Sub 0 Dec,3,0 KO 1 Sub 2 Dec,0.25,1,-3,0,2538,2023-04-29,W - Stephanie Egger,2025-10-11,L - Bia Mesquita
Zac Pauga,🇺🇸,1988-02-25,male,"heavyweight, light heavyweight",16,16,4,1,0 KO 0 Sub 1 Dec,3,2 KO 0 Sub 1 Dec,0.25,1,-2,0,2607,2022-08-06,L - Mohammed Usman,2024-02-10,L - Bogdan Guskov
Azat Maksum,🇰🇿,1995-02-02,male,flyweight,16,16,4,1,0 KO 0 Sub 1 Dec,3,0 KO 0 Sub 3 Dec,0.25,1,-3,1,2729,2023-07-15,W - Tyson Nam,2025-10-25,L - Mitch Raposo
Luis Pajuelo,🇵🇪,1994-12-12,male,featherweight,16,16,1,0,0 KO 0 Sub 0 Dec,1,0 KO 1 Sub 0 Dec,0,-1,-1,0,2533,2024-03-23,L - Fernando Padilla,2024-03-23,L - Fernando Padilla
Ivana Petrovic,🇭🇷 🇳🇴,1994-06-11,female,women's flyweight,16,16,4,1,0 KO 1 Sub 0 Dec,3,0 KO 0 Sub 3 Dec,0.25,1,-2,0,2530,2023-07-01,L - Luana Carolina,2025-05-03,L - Juliana Miller
Armen Petrosyan,🇦🇲,1990-11-03,male,middleweight,16,16,7,3,0 KO 0 Sub 3 Dec,4,1 KO 2 Sub 1 Dec,0.42857142857142855,2,-3,0,2885,2022-02-26,W - Gregory Rodrigues,2025-03-08,L - Brunno Ferreira
Kevin Jousset,🇫🇷,1993-05-02,male,welterweight,16,16,4,2,0 KO 1 Sub 1 Dec,2,1 KO 0 Sub 1 Dec,0.5,2,-2,0,2806,2023-09-09,W - Kiefer Crosbie,2025-02-08,L - Jonathan Micallef
Nick Aguirre,🇺🇸,1996-01-15,male,"featherweight, bantamweight",16,16,2,0,0 KO 0 Sub 0 Dec,2,0 KO 1 Sub 1 Dec,0,-1,-2,0,2516,2023-01-14,L - Dan Argueta,2023-11-18,L - Payton Talbott
Danyelle Wolf,🇺🇸,1983-09-08,female,women's featherweight,16,16,1,0,0 KO 0 Sub 0 Dec,1,0 KO 0 Sub 1 Dec,0,-1,-1,0,2337,2022-09-10,L - Norma Dumont,2022-09-10,L - Norma Dumont
Tamires Vidal,🇧🇷,1998-07-27,female,women's bantamweight,16,16,4,1,1 KO 0 Sub 0 Dec,3,1 KO 1 Sub 1 Dec,0.25,1,-3,0,2673,2022-11-05,W - Ramona Pascual,2024-10-19,L - Joselyne Edwards
Liudvik Sholinian,🇦🇲 🇺🇦,1990-01-20,male,bantamweight,16,16,2,0,0 KO 0 Sub 0 Dec,2,0 KO 0 Sub 2 Dec,0,-1,-2,0,2592,2021-09-04,L - Jack Shore,2022-11-05,L - Johnny Munoz
Baergeng Jieleyisi,🇨🇳,1995-11-24,male,bantamweight,16,16,1,0,0 KO 0 Sub 0 Dec,1,0 KO 0 Sub 1 Dec,0,-1,-1,0,2592,2024-11-23,L - SuYoung You,2024-11-23,L - SuYoung You
Louis Cosce,🇺🇸,1995-08-27,male,welterweight,16,16,2,0,0 KO 0 Sub 0 Dec,2,1 KO 0 Sub 1 Dec,0,-1,-2,1,2453,2020-11-21,L - Sasha Palatnikov,2022-09-17,L - Trevin Giles
Josefine Knutsson,🇸🇪,1996-01-16,female,women's strawweight,16,16,3,2,0 KO 0 Sub 2 Dec,1,0 KO 0 Sub 1 Dec,0.6666666666666666,2,-1,0,2801,2023-09-16,W - Marnic Mann,2024-12-14,L - Piera Rodriguez
Jeka Saragih,🇮🇩,1995-01-01,male,"featherweight, lightweight",16,16,4,1,1 KO 0 Sub 0 Dec,3,2 KO 1 Sub 0 Dec,0.25,1,-2,1,2706,2023-02-04,L - Anshul Jubli,2025-06-07,L - JooSang Yoo
Greg Hardy,🇺🇸,1988-07-28,male,heavyweight,16,16,10,4,3 KO 0 Sub 1 Dec,5,3 KO 0 Sub 1 Dec,0.4,2,-3,0,2810,2019-01-19,L - Allen Crowder,2022-03-05,L - Serghei Spivac
Joshua Weems,🇺🇸,1994-05-05,male,bantamweight,16,16,1,0,0 KO 0 Sub 0 Dec,1,0 KO 1 Sub 0 Dec,0,-1,-1,0,2506,2022-10-29,L - Christian Rodriguez,2022-10-29,L - Christian Rodriguez
Max Rohskopf,🇺🇸,1994-09-27,male,lightweight,16,16,1,0,0 KO 0 Sub 0 Dec,1,1 KO 0 Sub 0 Dec,0,-1,-1,0,2524,2020-06-20,L - Austin Hubbard,2020-06-20,L - Austin Hubbard
Khadis Ibragimov,🇷🇺,1995-05-21,male,light heavyweight,16,16,4,0,0 KO 0 Sub 0 Dec,4,1 KO 1 Sub 2 Dec,0,-1,-4,0,2620,2019-08-31,L - Da Woon Jung,2020-09-26,L - Danilo Marques
Blood Diamond,🇳🇿 🇿🇼,1988-07-10,male,welterweight,16,16,3,0,0 KO 0 Sub 0 Dec,3,0 KO 1 Sub 2 Dec,0,-1,-3,0,2413,2022-02-12,L - Jeremiah Wells,2023-09-09,L - Charles Radtke
Kay Hansen,🇺🇸,1999-08-14,female,"women's strawweight, women's flyweight",16,16,4,1,0 KO 1 Sub 0 Dec,3,0 KO 0 Sub 3 Dec,0.25,1,-3,1,2732,2020-06-27,W - Jinh Yu Frey,2022-04-09,L - Piera Rodriguez
Val Woodburn,🇯🇲 🇺🇸,1993-08-10,male,"welterweight, middleweight",16,16,2,0,0 KO 0 Sub 0 Dec,2,1 KO 0 Sub 1 Dec,0,-1,-2,0,2487,2023-07-08,L - Bo Nickal,2024-02-17,L - Oban Elliott
Dean Barry,🇮🇪,1992-07-03,male,welterweight,16,16,1,0,0 KO 0 Sub 0 Dec,1,0 KO 0 Sub 0 Dec,0,-1,-1,0,2207,2022-04-23,L - Mike Jackson,2022-04-23,L - Mike Jackson
Yanal Ashmouz,🇮🇱,1995-03-31,male,lightweight,16,16,4,2,1 KO 0 Sub 1 Dec,2,0 KO 0 Sub 2 Dec,0.5,1,-1,0,2751,2023-03-18,W - Sam Patterson,2025-06-07,L - Quillan Salkilld
Magomed Gadzhiyasulov,🇧🇭 🇷🇺,1993-11-04,male,light heavyweight,16,16,2,1,0 KO 0 Sub 1 Dec,1,0 KO 0 Sub 1 Dec,0.5,1,-1,0,2680,2024-06-22,W - Brendson Ribeiro,2025-01-11,L - Bruno Lopes
Daniel Lacerda,🇧🇷,1996-06-05,male,flyweight,16,16,6,0,0 KO 0 Sub 0 Dec,5,3 KO 2 Sub 0 Dec,0,0,-1,1,2493,2021-10-23,L - Jeff Molina,2024-02-24,L - Edgar Chairez
Yaozong Hu,🇨🇳,1995-04-07,male,"middleweight, light heavyweight, heavyweight",16,16,3,0,0 KO 0 Sub 0 Dec,3,0 KO 2 Sub 1 Dec,0,-1,-3,0,2327,2017-11-25,L - Cyril Asker,2021-10-30,L - Andre Petroski
Dan Argueta,🇺🇸,1993-08-13,male,"featherweight, bantamweight",16,16,6,1,0 KO 0 Sub 1 Dec,4,0 KO 1 Sub 3 Dec,0.16666666666666666,1,-3,0,2747,2022-06-04,L - Damon Jackson,2024-10-12,L - Cody Haddon
Nick Maximov,🇺🇸,1997-12-23,male,middleweight,16,16,4,2,0 KO 0 Sub 2 Dec,2,0 KO 1 Sub 1 Dec,0.5,2,-2,0,2728,2021-09-25,W - Cody Brundage,2022-10-15,L - Jacob Malkoun
Joseph Holmes,🇺🇸,1995-07-04,male,middleweight,16,16,4,1,0 KO 1 Sub 0 Dec,3,1 KO 1 Sub 1 Dec,0.25,1,-2,0,2590,2022-01-15,L - Jamie Pickett,2023-05-06,L - Claudio Ribeiro
Gadzhi Omargadzhiev,🇷🇺,1993-02-24,male,"welterweight, middleweight",16,16,2,0,0 KO 0 Sub 0 Dec,2,0 KO 0 Sub 2 Dec,0,-1,-2,0,2667,2022-04-16,L - Caio Borralho,2022-10-22,L - Abubakar Nurmagomedov
Juan Espino,🇪🇸,1980-10-09,male,heavyweight,16,16,3,2,0 KO 2 Sub 0 Dec,1,0 KO 0 Sub 1 Dec,0.6666666666666666,2,-1,1,2684,2018-11-30,W - Justin Frazier,2021-04-17,L - Alexandr Romanov
Bea Malecki,🇸🇪,1991-08-23,female,women's bantamweight,16,16,3,2,0 KO 1 Sub 1 Dec,1,1 KO 0 Sub 0 Dec,0.6666666666666666,2,-1,0,2461,2019-06-01,W - Duda Santana,2021-08-21,L - Josiane Nunes
Mohammed Usman,🇳🇬 🇺🇸,1989-04-01,male,heavyweight,16,16,6,4,1 KO 0 Sub 3 Dec,2,0 KO 0 Sub 2 Dec,0.6666666666666666,3,1,1,2715,2022-08-06,W - Zac Pauga,2025-06-21,W - Hamdy Abdelwahab
Mariya Agapova,🇰🇿,1997-04-07,female,women's flyweight,16,16,6,2,0 KO 2 Sub 0 Dec,4,1 KO 3 Sub 0 Dec,0.3333333333333333,1,-3,0,2670,2020-06-13,W - Hannah Cifers,2024-07-13,L - Luana Santos
Jose Medina,🇧🇴,1991-05-17,male,middleweight,16,16,4,0,0 KO 0 Sub 0 Dec,4,2 KO 1 Sub 1 Dec,0,-1,-4,0,2347,2024-08-24,L - Zachary Reese,2026-02-28,L - Ryan Gandra
Tafon Nchukwi,🇨🇲,1994-10-14,male,"middleweight, light heavyweight",16,16,6,2,0 KO 0 Sub 2 Dec,4,2 KO 0 Sub 2 Dec,0.3333333333333333,1,-3,0,2746,2020-12-19,W - Jamie Pickett,2023-08-12,L - AJ Dobson
Charalampos Grigoriou,🇨🇾 🇬🇷 🇺🇸,1992-03-31,male,bantamweight,16,16,2,0,0 KO 0 Sub 0 Dec,2,0 KO 1 Sub 1 Dec,0,-1,-2,0,2418,2024-03-16,L - Chad Anheliger,2024-08-10,L - Toshiomi Kazama
Bryan Battle,🇺🇸,1994-09-21,male,"welterweight, middleweight",16,16,9,7,3 KO 2 Sub 2 Dec,1,0 KO 0 Sub 1 Dec,0.7777777777777778,3,2,3,3024,2021-08-28,W - Gilbert Urbina,2024-12-07,W - Randy Brown
Yusaku Kinoshita,🇯🇵,2000-08-21,male,welterweight,16,16,2,0,0 KO 0 Sub 0 Dec,2,2 KO 0 Sub 0 Dec,0,-1,-2,0,2342,2023-02-04,L - Adam Fugitt,2023-08-26,L - Billy Ray Goff
Duda Santana,🇧🇷,1996-01-10,female,women's bantamweight,16,16,1,0,0 KO 0 Sub 0 Dec,1,0 KO 1 Sub 0 Dec,0,-1,-1,0,2263,2019-06-01,L - Bea Malecki,2019-06-01,L - Bea Malecki
Denis Tiuliulin,🇷🇺,1988-05-17,male,middleweight,16,16,6,1,1 KO 0 Sub 0 Dec,5,2 KO 2 Sub 1 Dec,0.16666666666666666,1,-4,0,2631,2022-03-26,L - Aliaskhab Khizriev,2024-08-03,L - Sedriques Dumas
Caolan Loughran,🇮🇪,1996-05-18,male,bantamweight,16,16,4,2,0 KO 0 Sub 2 Dec,2,0 KO 0 Sub 2 Dec,0.5,1,1,0,2715,2023-09-02,L - Taylor Lapilus,2025-03-22,W - Nathan Fletcher
Justin Tafa,🇦🇺 🇼🇸,1993-12-13,male,heavyweight,16,16,10,4,4 KO 0 Sub 0 Dec,5,2 KO 0 Sub 3 Dec,0.4,2,-2,2,2760,2019-10-05,L - Yorgan De Castro,2025-02-08,L - Tallison Teixeira
Deron Winn,🇺🇸,1989-06-13,male,middleweight,16,16,5,2,0 KO 0 Sub 2 Dec,3,1 KO 1 Sub 1 Dec,0.4,1,-1,1,2717,2019-06-22,W - Eric Spicely,2022-06-18,L - Phil Hawes
Liliya Shakirova,🇺🇿,1991-10-20,female,women's flyweight,16,16,1,0,0 KO 0 Sub 0 Dec,1,0 KO 1 Sub 0 Dec,0,-1,-1,0,2459,2020-10-24,L - Lauren Murphy,2020-10-24,L - Lauren Murphy
Claudio Ribeiro,🇧🇷,1992-07-17,male,middleweight,16,16,4,1,1 KO 0 Sub 0 Dec,3,3 KO 0 Sub 0 Dec,0.25,1,-2,0,2645,2023-01-14,L - Abdul Razak Alhassan,2024-03-02,L - Christian Leroy Duncan
Caio Machado,🇧🇷,1994-07-20,male,"light heavyweight, heavyweight",16,16,3,0,0 KO 0 Sub 0 Dec,3,0 KO 0 Sub 3 Dec,0,-1,-3,0,2602,2023-11-18,L - Mick Parkin,2024-11-02,L - Brendson Ribeiro
Raphael Pessoa,🇧🇷,1989-03-09,male,heavyweight,16,16,3,1,0 KO 0 Sub 1 Dec,2,1 KO 1 Sub 0 Dec,0.3333333333333333,1,-1,0,2672,2019-08-10,L - Ciryl Gane,2020-07-25,L - Tanner Boser
Impa Kasanganay,🇨🇩 🇺🇸,1994-01-17,male,"welterweight, middleweight",16,16,4,2,0 KO 1 Sub 1 Dec,2,2 KO 0 Sub 0 Dec,0.5,1,-1,0,2742,2020-08-29,W - Maki Pitolo,2021-09-18,L - Carlston Harris
Saidyokub Kakhramonov,🇺🇿,1995-11-14,male,bantamweight,16,16,3,2,0 KO 1 Sub 1 Dec,1,0 KO 1 Sub 0 Dec,0.6666666666666666,2,-1,0,2865,2021-08-21,W - Trevin Jones,2022-12-17,L - Said Nurmagomedov
Martin Buday,🇸🇰,1991-11-11,male,heavyweight,12,16,8,7,0 KO 1 Sub 6 Dec,1,1 KO 0 Sub 0 Dec,0.875,4,3,0,2864,2022-04-16,W - Chris Barnett,2025-07-26,W - Marcus Buchecha
Kleydson Rodrigues,🇧🇷,1995-10-22,male,"flyweight, bantamweight",16,16,4,1,1 KO 0 Sub 0 Dec,3,0 KO 1 Sub 2 Dec,0.25,1,-2,0,2656,2022-05-07,L - CJ Vergara,2024-05-18,L - Alatengheili
Brad Riddell,🇳🇿,1991-09-30,male,lightweight,12,16,7,4,0 KO 0 Sub 4 Dec,3,1 KO 2 Sub 0 Dec,0.5714285714285714,4,-3,2,2944,2019-10-05,W - Jamie Mullarkey,2022-11-12,L - Renato Moicano
Alexandr Romanov,🇲🇩,1990-12-11,male,heavyweight,12,16,10,7,1 KO 3 Sub 3 Dec,3,1 KO 1 Sub 1 Dec,0.7,5,1,1,2981,2020-09-12,W - Roque Martinez,2024-11-02,W - Rodrigo Nascimento
Roman Bogatov,🇷🇺,1990-12-15,male,lightweight,16,16,1,0,0 KO 0 Sub 0 Dec,1,0 KO 0 Sub 1 Dec,0,-1,-1,0,2890,2020-07-11,L - Leonardo Santos,2020-07-11,L - Leonardo Santos
Yohan Lainesse,🇨🇦,1992-08-14,male,welterweight,16,16,4,1,0 KO 0 Sub 1 Dec,3,1 KO 2 Sub 0 Dec,0.25,1,-2,0,2701,2022-04-30,L - Gabe Green,2024-01-20,L - Sam Patterson
SeungGuk Choi,🇰🇷,1996-12-26,male,flyweight,16,16,1,0,0 KO 0 Sub 0 Dec,1,0 KO 1 Sub 0 Dec,0,-1,-1,0,2534,2023-02-04,L - HyunSung Park,2023-02-04,L - HyunSung Park
Nicolae Negumereanu,🇷🇴,1994-09-04,male,light heavyweight,16,16,6,4,2 KO 0 Sub 2 Dec,2,1 KO 0 Sub 1 Dec,0.6666666666666666,4,-1,0,2796,2019-03-16,L - Saparbeg Safarov,2022-11-12,L - Carlos Ulberg
Eduardo Garagorri,🇺🇾,1989-05-28,male,featherweight,16,16,3,1,0 KO 0 Sub 1 Dec,2,0 KO 2 Sub 0 Dec,0.3333333333333333,1,-2,0,2621,2019-08-10,W - Humberto Bandenay,2020-11-07,L - Darren Elkins
Zygimantas Ramaska,🇱🇹,1996-12-27,male,featherweight,16,16,1,0,0 KO 0 Sub 0 Dec,1,0 KO 1 Sub 0 Dec,0,-1,-1,0,2555,2024-09-07,L - Nathan Fletcher,2024-09-07,L - Nathan Fletcher
AJ Fletcher,🇺🇸,1997-02-18,male,welterweight,16,16,4,1,0 KO 1 Sub 0 Dec,3,0 KO 1 Sub 2 Dec,0.25,1,-1,0,2578,2022-03-12,L - Matthew Semelsberger,2023-09-23,L - Bryan Battle
Jamey Simmons,🇺🇸,1992-09-11,male,"bantamweight, featherweight",16,16,2,0,0 KO 0 Sub 0 Dec,2,1 KO 1 Sub 0 Dec,0,-1,-2,0,2468,2020-11-07,L - Giga Chikadze,2021-08-07,L - Johnny Munoz
Chan Mi Jeon,🇰🇷,1997-08-28,female,women's strawweight,16,16,2,0,0 KO 0 Sub 0 Dec,2,0 KO 0 Sub 2 Dec,0,-1,-2,0,2161,2017-06-10,L - JJ Aldrich,2017-09-22,L - Syuri Kondo
Juan Adams,🇺🇸,1992-01-16,male,heavyweight,16,16,4,1,1 KO 0 Sub 0 Dec,3,2 KO 0 Sub 1 Dec,0.25,1,-3,0,2726,2018-12-15,W - Chris De La Rocha,2020-02-08,L - Justin Tafa
Zelim Imadaev,🇷🇺,1995-01-25,male,welterweight,16,16,3,0,0 KO 0 Sub 0 Dec,3,1 KO 1 Sub 1 Dec,0,-1,-3,0,2541,2019-04-13,L - Max Griffin,2020-09-05,L - Michel Pereira
Ramona Pascual,🇭🇰,1988-09-23,female,"women's bantamweight, women's featherweight",16,16,3,0,0 KO 0 Sub 0 Dec,3,1 KO 0 Sub 2 Dec,0,-1,-3,0,2434,2022-02-26,L - Josiane Nunes,2022-11-05,L - Tamires Vidal
Carlton Minus,🇺🇸,1993-04-26,male,welterweight,16,16,2,0,0 KO 0 Sub 0 Dec,2,0 KO 0 Sub 2 Dec,0,-1,-2,0,2521,2020-08-22,L - Matthew Semelsberger,2020-12-19,L - Christos Giagos
Yoshinori Horie,🇯🇵,1995-05-10,male,featherweight,16,16,1,0,0 KO 0 Sub 0 Dec,1,1 KO 0 Sub 0 Dec,0,-1,-1,0,2190,2019-07-27,L - Hakeem Dawodu,2019-07-27,L - Hakeem Dawodu
Gloria de Paula,🇧🇷,1995-06-10,female,women's strawweight,16,16,4,1,0 KO 0 Sub 1 Dec,3,1 KO 0 Sub 2 Dec,0.25,1,-1,0,2408,2021-03-13,L - Jinh Yu Frey,2022-06-18,L - Maria Oliveira
Carlos Mota,🇧🇷,1995-04-15,male,flyweight,16,16,1,0,0 KO 0 Sub 0 Dec,1,0 KO 0 Sub 1 Dec,0,-1,-1,0,2578,2022-10-29,L - Cody Durden,2022-10-29,L - Cody Durden
Liang Na,🇨🇳,1996-07-27,female,"women's strawweight, women's flyweight",16,16,4,0,0 KO 0 Sub 0 Dec,4,3 KO 1 Sub 0 Dec,0,-1,-4,0,2485,2021-04-24,L - Ariane Carnelossi,2024-04-27,L - Ivana Petrovic
Bruno Souza,🇧🇷,1996-03-07,male,featherweight,16,16,2,0,0 KO 0 Sub 0 Dec,2,0 KO 0 Sub 2 Dec,0,-1,-2,0,2594,2021-11-06,L - Melsik Baghdasaryan,2022-03-26,L - Luis Saldana
Danilo Marques,🇧🇷,1985-12-26,male,light heavyweight,16,16,4,2,0 KO 1 Sub 1 Dec,2,2 KO 0 Sub 0 Dec,0.5,2,-2,0,2651,2020-09-26,W - Khadis Ibragimov,2022-02-05,L - Jailton Almeida
Nick Fiore,🇺🇸,1997-12-10,male,lightweight,16,16,2,0,0 KO 0 Sub 0 Dec,2,0 KO 0 Sub 2 Dec,0,-1,-2,0,2500,2023-01-14,L - Mateusz Rebecki,2023-05-20,L - Chase Hooper
Lucas Alexander,🇧🇷,1995-07-28,male,featherweight,16,16,4,1,0 KO 0 Sub 1 Dec,3,2 KO 1 Sub 0 Dec,0.25,1,-2,0,2673,2022-10-15,L - Joanderson Brito,2025-02-01,L - Bogdan Grad
Fabio Cherant,🇺🇸,1994-11-25,male,light heavyweight,16,16,3,0,0 KO 0 Sub 0 Dec,3,1 KO 1 Sub 1 Dec,0,-1,-3,0,2541,2021-03-27,L - Alonzo Menifield,2022-02-12,L - Carlos Ulberg
Lauren Mueller,🇺🇸,1991-11-15,female,women's flyweight,16,16,4,1,0 KO 0 Sub 1 Dec,3,0 KO 1 Sub 2 Dec,0.25,1,-3,0,2538,2018-04-14,W - Shana Dobson,2019-10-12,L - JJ Aldrich
Steven Koslow,🇺🇸,1997-01-22,male,bantamweight,16,16,1,0,0 KO 0 Sub 0 Dec,1,1 KO 0 Sub 0 Dec,0,-1,-1,0,2400,2022-12-10,L - Cameron Saaiman,2022-12-10,L - Cameron Saaiman
Sarah Frota,🇧🇷,1987-04-14,female,"women's strawweight, women's flyweight",16,16,2,0,0 KO 0 Sub 0 Dec,2,1 KO 0 Sub 1 Dec,0,-1,-2,0,2725,2019-02-02,L - Livinha Souza,2019-07-27,L - Gillian Robertson
Luigi Vendramini,🇧🇷,1996-01-16,male,"lightweight, welterweight",16,16,4,1,1 KO 0 Sub 0 Dec,3,2 KO 0 Sub 1 Dec,0.25,1,-2,1,2643,2018-09-22,L - Elizeu Zaleski dos Santos,2021-09-04,L - Paddy Pimblett
Austin Lingo,🇺🇸,1994-07-10,male,featherweight,16,16,5,2,0 KO 0 Sub 2 Dec,3,0 KO 1 Sub 2 Dec,0.4,2,-2,0,2749,2020-02-08,L - Youssef Zalal,2023-07-15,L - Melquizael Costa
Kanako Murata,🇯🇵,1993-08-10,female,women's strawweight,16,16,3,1,0 KO 0 Sub 1 Dec,2,1 KO 0 Sub 1 Dec,0.3333333333333333,1,-2,0,2693,2020-11-14,W - Randa Markos,2023-10-07,L - Vanessa Demopoulos
Syuri Kondo,🇯🇵,1989-02-08,female,women's strawweight,16,16,4,1,0 KO 0 Sub 1 Dec,3,1 KO 0 Sub 2 Dec,0.25,1,-3,0,2314,2017-09-22,W - Chan Mi Jeon,2019-06-22,L - Ashley Yoder
Erik Silva,🇨🇷 🇻🇪,1987-03-16,male,"featherweight, flyweight",16,16,3,0,0 KO 0 Sub 0 Dec,3,1 KO 2 Sub 0 Dec,0,-1,-3,0,2541,2022-12-10,L - TJ Brown,2026-02-28,L - Francis Marshall
Darian Weeks,🇺🇸,1993-11-23,male,welterweight,16,16,3,0,0 KO 0 Sub 0 Dec,3,0 KO 0 Sub 3 Dec,0,-1,-3,0,2496,2021-12-04,L - Bryan Barberena,2022-09-10,L - Yohan Lainesse
Lucas Almeida,🇧🇷,1991-01-13,male,featherweight,16,16,6,2,1 KO 0 Sub 1 Dec,4,2 KO 1 Sub 1 Dec,0.3333333333333333,1,-2,1,2822,2022-06-04,W - Michael Trizano,2025-10-11,L - Michael Aswell Jr.
AJ Cunningham,🇺🇸,1994-09-07,male,"bantamweight, lightweight",16,16,2,0,0 KO 0 Sub 0 Dec,2,1 KO 0 Sub 1 Dec,0,-1,-2,0,2427,2024-03-02,L - Ludovit Klein,2025-03-15,L - SuYoung You
Landon Quinones,🇵🇷 🇺🇸,1995-11-21,male,lightweight,16,16,2,0,0 KO 0 Sub 0 Dec,2,0 KO 0 Sub 2 Dec,0,-1,-2,0,2587,2023-09-09,L - Nasrat Haqparast,2024-02-03,L - MarQuel Mederos
