fighter_name,country,date_of_birth,gender,weightclass,peak,peak p4p,bouts,wins,win_type,losses,loss_type,win_pct,best streak,last streak,bonus,peak elo,debut,debut_result,prev_bout,prev_result
Don Frye,🇺🇸,1965-11-23,male,openweight,-1,16,10,9,4 KO 5 Sub 0 Dec,1,1 KO 0 Sub 0 Dec,0.9,6,3,0,2596,1996-02-16,W - Thomas Ramirez,1996-12-07,W - Tank Abbott
Ian Freeman,🇬🇧 🏴󠁧󠁢󠁥󠁮󠁧󠁿,1969-12-31,male,heavyweight,16,16,6,3,1 KO 1 Sub 1 Dec,2,1 KO 1 Sub 0 Dec,0.5,3,0,0,2547,2000-03-10,L - Scott Adams,2003-06-06,D - Vernon White
Jesse Forbes,🇺🇸,1984-10-24,male,"middleweight, light heavyweight",16,16,3,0,0 KO 0 Sub 0 Dec,3,1 KO 1 Sub 1 Dec,0,-1,-3,0,2452,2006-06-24,L - Matt Hamill,2010-05-29,L - Ryan Jensen
Kimbo Slice,🇧🇸 🇺🇸,1974-02-08,male,heavyweight,16,16,2,1,0 KO 0 Sub 1 Dec,1,1 KO 0 Sub 0 Dec,0.5,1,-1,0,2382,2009-12-05,W - Houston Alexander,2010-05-08,L - Matt Mitrione
Justin Eilers,🇺🇸,1978-06-28,male,heavyweight,16,16,4,1,1 KO 0 Sub 0 Dec,3,3 KO 0 Sub 0 Dec,0.25,1,-3,0,2651,2004-08-21,W - Mike Kyle,2006-02-04,L - Brandon Vera
Yves Edwards,🇧🇸 🇺🇸,1976-09-30,male,"lightweight, welterweight",16,16,21,10,5 KO 2 Sub 3 Dec,10,2 KO 3 Sub 5 Dec,0.47619047619047616,6,-2,4,2812,2001-09-28,L - Matt Serra,2014-11-22,L - Akbarh Arreola
Joe Doerksen,🇨🇦,1977-10-09,male,middleweight,16,16,9,2,0 KO 2 Sub 0 Dec,7,2 KO 2 Sub 3 Dec,0.2222222222222222,1,-2,0,2753,2004-08-21,L - Joe Riggs,2010-12-11,L - Dan Miller
Edwin Dewees,🇺🇸,1982-08-07,male,"middleweight, light heavyweight",16,16,3,0,0 KO 0 Sub 0 Dec,3,2 KO 1 Sub 0 Dec,0,-1,-3,0,2647,2003-09-26,L - Rich Franklin,2006-11-11,L - Jorge Rivera
Tony DeSouza,🇵🇪,1974-07-26,male,welterweight,16,16,6,3,0 KO 2 Sub 1 Dec,3,3 KO 0 Sub 0 Dec,0.5,2,-2,0,2673,2001-05-04,W - Steve Berger,2007-12-29,L - Roan Carneiro
Luke Cummo,🇺🇸,1980-04-27,male,welterweight,16,16,7,3,2 KO 0 Sub 1 Dec,4,0 KO 0 Sub 4 Dec,0.42857142857142855,2,-2,1,2560,2005-11-05,L - Joe Stevenson,2008-08-09,L - Tamdan McCrory
Marcio Cruz,🇧🇷,1978-04-24,male,heavyweight,16,16,4,2,1 KO 1 Sub 0 Dec,2,1 KO 0 Sub 1 Dec,0.5,2,-2,0,2553,2005-10-07,W - Keigo Kunihara,2006-12-30,L - Andrei Arlovski
Alberto Crane,🇺🇸,1976-07-14,male,lightweight,16,16,2,0,0 KO 0 Sub 0 Dec,2,2 KO 0 Sub 0 Dec,0,-1,-2,0,2516,2007-08-25,L - Roger Huerta,2008-01-23,L - Kurt Pellegrino
Patrick Cote,🇨🇦,1980-02-29,male,"welterweight, middleweight, light heavyweight",16,16,21,10,4 KO 0 Sub 5 Dec,11,2 KO 3 Sub 6 Dec,0.47619047619047616,4,-2,3,2995,2004-10-22,L - Tito Ortiz,2017-04-08,L - Thiago Alves
Wesley Correira,🇺🇸,1978-11-11,male,heavyweight,16,16,4,2,2 KO 0 Sub 0 Dec,2,2 KO 0 Sub 0 Dec,0.5,2,-1,0,2726,2002-09-27,L - Tim Sylvia,2004-04-02,L - Andrei Arlovski
Rich Clementi,🇺🇸,1976-03-31,male,"lightweight, welterweight",16,16,10,5,0 KO 3 Sub 2 Dec,5,0 KO 3 Sub 2 Dec,0.5,4,-2,0,2675,2003-02-28,L - Yves Edwards,2009-02-07,L - Gleison Tibau
Dan Christison,🇺🇸,1972-04-26,male,heavyweight,16,16,2,1,0 KO 1 Sub 0 Dec,1,0 KO 0 Sub 1 Dec,0.5,1,-1,2,2653,2006-04-06,W - Brad Imes,2006-07-08,L - Frank Mir
Gil Castillo,🇺🇸,1965-10-21,male,"welterweight, middleweight",16,16,3,1,0 KO 0 Sub 1 Dec,2,1 KO 0 Sub 1 Dec,0.3333333333333333,1,-1,0,2569,2001-09-28,L - Dave Menne,2002-11-22,L - Matt Hughes
Shonie Carter,🇺🇸,1972-05-03,male,"lightweight, welterweight, middleweight",16,16,6,3,1 KO 0 Sub 2 Dec,3,2 KO 0 Sub 1 Dec,0.5,3,-3,0,2590,2000-03-10,W - Brad Gumm,2006-12-13,L - Marcus Davis
Murilo Bustamante,🇧🇷,1966-07-30,male,"middleweight, light heavyweight",-1,16,4,3,1 KO 2 Sub 0 Dec,1,0 KO 0 Sub 1 Dec,0.75,2,2,0,2601,2000-04-14,W - Yoji Anjo,2002-05-10,W - Matt Lindland
Mikey Burnett,🇺🇸,1974-04-12,male,lightweight,16,16,3,2,1 KO 0 Sub 1 Dec,1,0 KO 0 Sub 1 Dec,0.6666666666666666,1,1,0,2395,1998-03-13,W - Eugenio Tadeu,1999-01-08,W - Townsend Saunders
Josh Burkman,🇺🇸,1980-10-04,male,"lightweight, welterweight",16,16,19,6,1 KO 1 Sub 4 Dec,12,2 KO 5 Sub 5 Dec,0.3157894736842105,2,-5,2,2913,2005-11-05,W - Sam Morgan,2018-02-18,L - Alex Morono
Jerry Bohlander,🇺🇸,1974-11-02,male,"lightweight, middleweight, openweight",-1,16,7,5,0 KO 4 Sub 1 Dec,2,2 KO 0 Sub 0 Dec,0.7142857142857143,4,-1,0,2574,1996-02-16,W - Scott Ferrozzo,1999-01-08,L - Tito Ortiz
Dan Bobish,🇺🇸,1970-01-26,male,heavyweight,16,16,2,1,1 KO 0 Sub 0 Dec,1,0 KO 1 Sub 0 Dec,0.5,1,-1,0,2397,1997-07-27,W - Brian Johnston,1997-07-27,L - Mark Kerr
Eddie Alvarez,🇺🇸,1984-01-11,male,lightweight,-1,6,8,4,2 KO 0 Sub 2 Dec,3,2 KO 0 Sub 1 Dec,0.5,3,-1,2,3262,2014-09-27,L - Donald Cerrone,2018-07-28,L - Dustin Poirier
Gilbert Aldana,🇺🇸,1977-08-25,male,heavyweight,16,16,2,0,0 KO 0 Sub 0 Dec,2,2 KO 0 Sub 0 Dec,0,-1,-2,0,2450,2006-02-04,L - Paul Buentello,2006-07-08,L - Cheick Kongo
Tank Abbott,🇺🇸,1965-04-26,male,"openweight, heavyweight, middleweight",16,16,18,8,4 KO 3 Sub 1 Dec,10,3 KO 5 Sub 2 Dec,0.4444444444444444,2,-4,0,2421,1995-07-14,W - John Matua,2003-11-21,L - Wesley Correira
Karo Parisyan,🇦🇲 🇺🇸,1982-08-28,male,welterweight,16,16,13,8,0 KO 2 Sub 6 Dec,4,2 KO 0 Sub 2 Dec,0.6153846153846154,4,-1,1,2955,2003-09-26,W - Dave Strasser,2010-11-20,L - Dennis Hallman
Dustin Hazelett,🇺🇸,1986-04-29,male,"lightweight, welterweight",16,16,10,5,0 KO 4 Sub 1 Dec,5,3 KO 2 Sub 0 Dec,0.5,3,-3,3,2837,2006-10-10,L - Tony DeSouza,2010-12-11,L - Mark Bocek
Steve Lopez,🇺🇸,1984-07-30,male,lightweight,16,16,2,0,0 KO 0 Sub 0 Dec,2,1 KO 0 Sub 1 Dec,0,-1,-2,0,2440,2009-09-19,L - Jim Miller,2010-09-25,L - Waylon Lowe
Tito Ortiz,🇺🇸,1975-01-23,male,"lightweight, middleweight, light heavyweight",-1,16,27,15,8 KO 2 Sub 5 Dec,11,4 KO 2 Sub 5 Dec,0.5555555555555556,6,-3,6,2872,1997-05-30,W - Wes Albritton,2012-07-07,L - Forrest Griffin
Zak Cummings,🇺🇸,1984-08-02,male,"welterweight, middleweight, light heavyweight",16,16,14,10,2 KO 4 Sub 4 Dec,4,0 KO 1 Sub 3 Dec,0.7142857142857143,2,2,1,2996,2013-08-28,W - Benny Alloway,2023-04-15,W - Ed Herman
Jake Ellenberger,🇺🇸,1985-03-28,male,welterweight,4,16,21,10,6 KO 1 Sub 3 Dec,11,7 KO 1 Sub 3 Dec,0.47619047619047616,6,-4,5,3139,2009-09-16,L - Carlos Condit,2018-08-25,L - Bryan Barberena
Igor Pokrajac,🇭🇷,1979-01-02,male,light heavyweight,16,16,13,4,2 KO 1 Sub 1 Dec,8,2 KO 2 Sub 4 Dec,0.3076923076923077,3,-4,0,2728,2009-09-19,L - Vladimir Matyushenko,2016-04-10,L - Jan Blachowicz
Vladimir Matyushenko,🇧🇾,1971-01-04,male,"light heavyweight, heavyweight",16,16,12,7,2 KO 1 Sub 4 Dec,5,3 KO 1 Sub 1 Dec,0.5833333333333334,2,-2,0,2827,2001-06-29,W - Yuki Kondo,2013-01-26,L - Ryan Bader
Marcus Aurelio,🇧🇷,1973-08-18,male,lightweight,16,16,6,2,1 KO 1 Sub 0 Dec,4,0 KO 0 Sub 4 Dec,0.3333333333333333,2,-3,0,2710,2007-08-25,L - Clay Guida,2009-08-29,L - Evan Dunham
Javier Vazquez,🇨🇺,1976-04-27,male,featherweight,16,16,1,1,0 KO 0 Sub 1 Dec,0,0 KO 0 Sub 0 Dec,1,1,1,0,2665,2011-06-26,W - Joe Stevenson,2011-06-26,W - Joe Stevenson
Kyle Kingsbury,🇺🇸,1982-03-22,male,light heavyweight,16,16,9,4,1 KO 0 Sub 3 Dec,5,1 KO 1 Sub 3 Dec,0.4444444444444444,4,-4,2,2696,2008-12-13,L - Tom Lawlor,2014-07-26,L - Patrick Cummins
Razak Al-Hassan,🇺🇸,1982-05-14,male,light heavyweight,16,16,2,0,0 KO 0 Sub 0 Dec,2,0 KO 1 Sub 1 Dec,0,-1,-2,0,2280,2008-12-10,L - Steve Cantwell,2009-10-24,L - Kyle Kingsbury
Eric Schafer,🇺🇸,1977-09-20,male,"middleweight, light heavyweight",16,16,9,3,1 KO 2 Sub 0 Dec,6,3 KO 0 Sub 3 Dec,0.3333333333333333,2,-4,0,2650,2006-08-26,W - Rob MacDonald,2012-01-20,L - Jorge Rivera
Mike Pierce,🇺🇸,1980-09-01,male,welterweight,10,16,14,9,3 KO 1 Sub 5 Dec,5,0 KO 1 Sub 4 Dec,0.6428571428571429,4,-2,0,3006,2009-09-16,W - Brock Larson,2015-12-11,L - Ryan LaFlare
Roger Huerta,🇺🇸,1983-05-20,male,lightweight,16,16,8,6,3 KO 1 Sub 2 Dec,2,0 KO 0 Sub 2 Dec,0.75,6,-2,3,2913,2006-09-23,W - Jason Dent,2009-09-16,L - Gray Maynard
Mark Hominick,🇨🇦,1982-07-22,male,"featherweight, lightweight",16,16,7,3,1 KO 1 Sub 1 Dec,4,1 KO 0 Sub 3 Dec,0.42857142857142855,3,-4,2,2736,2006-03-04,W - Yves Edwards,2012-11-17,L - Pablo Garza
